ano,mes,mes_nome,capitulo,grupo_cid,aih
2017,11,Nov,Cap 16,Perinatal,17993
2017,11,Nov,Cap 17,Congênito,5551
2017,11,Nov,Cap 18,Sintomas/Sinais,12533
2017,11,Nov,Cap 19,Lesões/Traumas,73592
2017,11,Nov,Cap 20,Causas Externas,0
2017,11,Nov,Cap 21,Fatores de Saúde,17398
2017,12,Dez,Cap 01,Infeccioso/Parasitário,30513
2017,12,Dez,Cap 02,Neoplasias,31488
2017,12,Dez,Cap 03,Sangue/Imunidade,4572
2017,12,Dez,Cap 04,Endócrino/Metabólico,10482
2017,12,Dez,Cap 05,Mental/Comportamental,9312
2017,12,Dez,Cap 06,Nervoso,7235
2017,12,Dez,Cap 07,Olho/Anexos,7076
2017,12,Dez,Cap 08,Ouvido,845
2017,12,Dez,Cap 09,Cardiovascular,46163
2017,12,Dez,Cap 10,Respiratório,44267
2017,12,Dez,Cap 11,Digestivo,52831
2017,12,Dez,Cap 12,Pele/Subcutâneo,11098
2017,12,Dez,Cap 13,Osteomuscular,7951
2017,12,Dez,Cap 14,Geniturinário,37083
2017,12,Dez,Cap 15,Materno/Perinatal,120552
2017,12,Dez,Cap 16,Perinatal,9735
2017,12,Dez,Cap 17,Congênito,3252
2017,12,Dez,Cap 18,Sintomas/Sinais,7923
2017,12,Dez,Cap 19,Lesões/Traumas,43795
2017,12,Dez,Cap 20,Causas Externas,0
2017,12,Dez,Cap 21,Fatores de Saúde,11979
2018,1,Jan,Cap 01,Infeccioso/Parasitário,71050
2018,1,Jan,Cap 02,Neoplasias,69689
2018,1,Jan,Cap 03,Sangue/Imunidade,9154
2018,1,Jan,Cap 04,Endócrino/Metabólico,21518
2018,1,Jan,Cap 05,Mental/Comportamental,28184
2018,1,Jan,Cap 06,Nervoso,16823
2018,1,Jan,Cap 07,Olho/Anexos,9039
2018,1,Jan,Cap 08,Ouvido,1627
2018,1,Jan,Cap 09,Cardiovascular,96394
2018,1,Jan,Cap 10,Respiratório,74866
2018,1,Jan,Cap 11,Digestivo,96107
2018,1,Jan,Cap 12,Pele/Subcutâneo,23035
2018,1,Jan,Cap 13,Osteomuscular,17643
2018,1,Jan,Cap 14,Geniturinário,70990
2018,1,Jan,Cap 15,Materno/Perinatal,210626
2018,1,Jan,Cap 16,Perinatal,25398
2018,1,Jan,Cap 17,Congênito,7012
2018,1,Jan,Cap 18,Sintomas/Sinais,17026
2018,1,Jan,Cap 19,Lesões/Traumas,99392
2018,1,Jan,Cap 20,Causas Externas,0
2018,1,Jan,Cap 21,Fatores de Saúde,19346
